,GDP,Unemployment,CPI,Core CPI
10/1/2013,18016.147,7.2,233.546,234.921
1/1/2014,17953.974,6.6,233.916,235.961
4/1/2014,18185.911,6.2,237.072,237.072
7/1/2014,18406.941,6.2,238.25,238.195
10/1/2014,18500.031,5.7,237.433,239.191
1/1/2015,18666.621,5.7,233.707,239.811
4/1/2015,18782.243,5.4,236.599,241.346
7/1/2015,18857.418,5.2,238.654,242.565
10/1/2015,18892.206,5,237.838,243.768
1/1/2016,19001.69,4.8,236.916,244.955
4/1/2016,19062.709,5.1,239.261,246.551
7/1/2016,19197.938,4.8,240.628,247.829
10/1/2016,19304.352,4.9,241.729,249.142
1/1/2017,19398.343,4.7,242.839,250.467
4/1/2017,19506.949,4.4,244.524,251.227
7/1/2017,19660.766,4.3,244.786,251.985
10/1/2017,19882.352,4.2,246.663,253.526
1/1/2018,20044.077,4,247.867,255.204
4/1/2018,20150.476,4,250.546,256.63
7/1/2018,20276.154,3.8,252.006,257.699
10/1/2018,20304.874,3.8,252.885,258.917
1/1/2019,20415.15,4,251.712,260.686
4/1/2019,20584.528,3.6,255.548,261.976
7/1/2019,20817.581,3.7,256.571,263.313
10/1/2019,20951.088,3.6,257.346,264.94
1/1/2020,20665.553,3.5,257.971,266.626
4/1/2020,19034.83,14.7,256.389,265.771
7/1/2020,20511.785,10.2,259.101,267.352
10/1/2020,20724.128,6.9,260.388,269.236
1/1/2021,20990.541,6.3,261.582,270.383
4/1/2021,21309.544,6.1,267.054,273.615
7/1/2021,21483.083,5.4,273.003,278.522
10/1/2021,21847.602,4.5,276.589,281.588
1/1/2022,21738.871,4,281.148,286.792
4/1/2022,21708.16,3.6,289.109,290.41
7/1/2022,21851.134,3.5,296.276,294.925
10/1/2022,21989.981,3.7,298.012,299.333
1/1/2023,22112.329,3.4,299.17,302.702
4/1/2023,22225.35,3.4,303.363,306.489
7/1/2023,22491.567,3.5,305.691,308.801
10/1/2023,27620,3.7,307.671,311.38
